Country Name,Country Code,Series Name,Series Code,2021 [YR2021],2020 [YR2020],2019 [YR2019],2018 [YR2018],2017 [YR2017],2016 [YR2016],2015 [YR2015],2014 [YR2014],2013 [YR2013],2012 [YR2012],2011 [YR2011],2010 [YR2010],2009 [YR2009],2008 [YR2008],2007 [YR2007],2006 [YR2006],2005 [YR2005],2004 [YR2004],2003 [YR2003],2002 [YR2002],2001 [YR2001],2000 [YR2000],1999 [YR1999],1998 [YR1998],1997 [YR1997],1996 [YR1996],1995 [YR1995],1994 [YR1994],1993 [YR1993],1992 [YR1992],1991 [YR1991],1990 [YR1990],1989 [YR1989],1988 [YR1988],1987 [YR1987],1986 [YR1986],1985 [YR1985],1984 [YR1984],1983 [YR1983],1982 [YR1982],1981 [YR1981],1980 [YR1980]
Brazil,BRA,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,..,-4.20620115484741,1.56915432321065,0.0820405722430593,1.40879330569281,-3.30834960906,-3.77127262855312,-0.4644704472814,4.49132615281339,1.71689885308139,5.11541149604635,6.85992077030187,2.43150422590126,3.98773424267038,6.76170576954422,5.32186786300986,2.51186707718971,5.54815052641382,1.01000651881816,2.8085814493525,0.551245010758763,5.74567441482982,-2.71821651742049,-1.05050153757357,2.95034901280511,1.42673849939608,6.02522252290176,6.88499664960263,3.9434087671379,1.34417132811366,2.85108607626847,-13.4580327789332,-5.81548519054648,0.274593648358106,3.41935442350515,9.60326529293908,26.5708363840219,6.50245038325761,-4.25533219336276,-0.480225485441551,-5.83389423351112,4.62019470073449
Brazil,BRA,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,..,1233087917414.15,1602259650198.15,1626199993469.64,1782128695914.5,1557752462027.25,1563367061772.04,2110204625287.97,2134580660433.96,2090688860371.32,2210996274783.66,1861236135227.77,1435917117713.29,1424244650344.12,1190702193970.81,939516295369.612,752404794564.926,565379168549.043,475296290777.287,433476088128.587,478056489084.627,561370250019.325,505375436335.423,739178617494.059,765176085773.379,742008132011.447,678904597931.759,458381063325.848,318856399350.561,286092574740.796,295388218724.143,332351171027.982,323997821080.008,278943837673.603,247455746211.413,223033009471.359,182390735869.664,173146986644.552,167768528557.034,234686511248.957,222531125426.532,198655236977.368
Brazil,BRA,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,..,-4.84128461260993,0.793998164626174,-0.70923419534769,0.60854278336997,-4.08959365563182,-4.58192667097993,-1.31466902329225,3.58790782071998,0.805207840998932,4.14383862969636,5.86075991239976,1.45981868710305,2.9661311309503,5.66556187205691,4.19326908643684,1.37297526014434,4.35236754540591,-0.180566183124853,1.51843537590915,-0.767999240894696,4.3102049929101,-4.0900693488793,-2.49280147009792,1.41746441229316,-0.113744360740156,4.38159268861791,5.19879947634337,2.2770136941602,-0.322795330774937,1.08700283089587,-15.0102289362721,-7.56513732544677,-1.64987272878443,1.3701434862667,7.35837136791679,23.8925300185455,4.18655970042727,-6.38420989518694,-2.73152018803624,-8.00032526196458,2.18959307310185
Brazil,BRA,Adolescents out of school (% of lower secondary school age),SE.SEC.UNER.LO.ZS,..,3.43226003646851,2.35420989990234,2.43722009658813,4.46414995193481,3.18606996536255,4.43385982513428,5.1853199005127,4.49730014801025,5.60056018829346,3.36431002616882,..,1.03012001514435,..,5.11336994171143,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,..,46.296,50.015,53.436,55.566,57.88,62.434,63.12,62.936,63.675,65.23,66.179,67.881,69.789,73.105,75.657,77.864,78.351,78.704,81.978,85.862,86.362,87.211,88.216,87.621,86.76,86.592,85.549,85.805,85.679,86.993,87.528,88.072,88.143,87.022,85.146,85.05,82.558,82.948,81.036,80.324,79.41
Brazil,BRA,"Adolescents out of school, female (% of female lower secondary school age)",SE.SEC.UNER.LO.FE.ZS,..,2.31728005409241,1.2104400396347,3.2838499546051,4.80787992477417,3.59065008163452,4.48376989364624,3.35857009887695,3.2386999130249,5.59808015823364,3.56852006912231,..,0.644209980964661,..,6.00762987136841,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,..,4.4818902015686,3.43145990371704,1.60766005516052,4.13127994537354,2.79314994812012,4.38572978973389,6.88018989562988,5.67806005477905,5.60293006896973,3.16722989082336,..,1.39667999744415,..,4.25383996963501,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,"Children in employment, female (% of female children ages 7-14)",SL.TLF.0714.FE.ZS,..,..,..,..,..,..,1.53,2.20961609178223,2.071282,..,2.59,..,3.3,3.5,4,..,..,4.60644,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,"Children in employment, male (% of male children ages 7-14)",SL.TLF.0714.MA.ZS,..,..,..,..,..,..,3.52,4.77860482242506,4.297545,..,5.75,..,6.6,6.9,8.1,..,..,9.4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,"Children in employment, total (% of children ages 7-14)",SL.TLF.0714.ZS,..,..,..,..,..,..,2.54,3.53264903343174,3.215266,..,4.2,..,5,5.2,6.1,..,..,7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,"Children in employment, unpaid family workers (% of children in employment, ages 7-14)",SL.FAM.0714.ZS,..,..,..,..,..,..,63.7,67.4817155756208,61.65,..,65.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,"Children in employment, work only (% of children in employment, ages 7-14)",SL.TLF.0714.WK.ZS,..,..,..,..,..,..,4.04,4.45564334085779,4.995714,..,3.59368403123194,..,5.2,4.8,6.6,..,..,7.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,Children out of school (% of primary school age),SE.PRM.UNER.ZS,..,4.5207200050354,0.573059976100922,0.519060015678406,0.390789985656738,0.838410019874573,0.718810021877289,0.136079996824265,0.459039986133575,2.19180989265442,4.99311017990112,..,2.36486005783081,..,0.753799974918365,..,0.539590001106262,2.02311992645264,1.35578000545502,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,"Children out of school, female (% of female primary school age)",SE.PRM.UNER.FE.ZS,..,5.36605978012085,4.07058000564575,4.35776996612549,3.65213990211487,4.14936017990112,0.576309978961945,4.32600021362305,4.06819009780884,1.39788997173309,5.40983009338379,..,1.49212002754211,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,"Children out of school, male (% of male primary school age)",SE.PRM.UNER.MA.ZS,..,3.69600009918213,4.31089019775391,5.27538013458252,4.76494979858398,4.35937023162842,0.855499982833862,3.64928007125854,3.83546996116638,2.9424901008606,4.58907985687256,..,3.18008995056152,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,"Children out of school, primary",SE.PRM.UNER,..,658477,612571,709047,619485,630849,658888,600337,602121,896213,769460,..,314651,..,105832,..,75560,287197,182506,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,"Children out of school, primary, female",SE.PRM.UNER.FE,..,385978,290889,311870,260722,301028,321036,320958,304494,400219,410387,..,95884,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,"Children out of school, primary, male",SE.PRM.UNER.MA,..,272499,321682,397177,358763,329821,337852,279379,297627,495994,359073,..,218767,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,"Compulsory education, duration (years)",SE.COM.DURS,14,14,14,14,14,14,14,14,14,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,"Condom use, population ages 15-24, female (% of females ages 15-24)",SH.CON.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,"Condom use, population ages 15-24, male (% of males ages 15-24)",SH.CON.1524.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,50.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,"Current education expenditure, primary (% of total expenditure in primary public institutions)",SE.XPD.CPRM.ZS,..,..,96.8712997436523,96.9968490600586,97.7680969238281,96.9617919921875,96.0952835083008,93.9988098144531,94.7193908691406,91.3513565063477,94.3173980712891,94.1575698852539,94.6043701171875,93.2212295532227,92.9845275878906,93.2655334472656,93.1742706298828,92.830940246582,..,90.0031814575195,91.077766418457,91.9165802001953,93.1752090454102,93.6108474731445,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,"Current education expenditure, secondary (% of total expenditure in secondary public institutions)",SE.XPD.CSEC.ZS,..,..,97.2191696166992,97.1097564697266,97.729133605957,97.5982284545898,96.7785415649414,93.8419570922852,94.3498229980469,92.5086517333984,94.1712417602539,93.9366226196289,94.5865707397461,92.8899078369141,93.2849502563477,95.1604537963867,94.6236114501953,94.8647613525391,..,91.787467956543,93.1314315795898,94.4475784301758,96.0896835327148,95.9208984375,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,"Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)",SE.XPD.CTER.ZS,..,..,97.4178466796875,96.7340774536133,97.350341796875,95.090690612793,95.6393966674805,92.0353088378906,90.6901779174805,90.5843200683594,91.9855194091797,86.8707733154297,86.3871002197266,88.6545104980469,95.0941162109375,94.0714111328125,94.8393630981445,96.6965179443359,..,90.9161605834961,92.9409408569336,96.9163665771484,97.04736328125,97.6404266357422,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,..,..,97.0306930541992,96.9330520629883,97.5223693847656,96.6319885253906,96.0512619018555,93.4343032836914,93.7622909545898,92.0146102905273,93.884147644043,92.7514801025391,93.1786727905273,92.2513122558594,93.2888107299805,94.0681610107422,93.8673934936523,94.0661163330078,..,91.0330123901367,92.3102874755859,93.8585891723633,94.8745880126953,95.213508605957,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,..,..,9.5912714,9.46475124,9.47124863,9.16901207,8.90929508,8.39644623,7.97659969,7.73637724,7.78819466,7.94515991,8.39480209,8.01129246,8.20183945,8.24952602,8.03540993,8.12491989,8.18899918,8.69685745,8.54960632,8.33459282,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,..,..,40.74078369,41.09182358,41.73838043,43.06282806,43.25646591,44.05274582,44.51945877,43.36180878,44.49915695,45.02125549,44.16326523,43.74353027,42.48596573,42.92739487,41.6314621,42.67026901,42.85684204,42.38710403,41.08930588,41.63555527,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,..,..,3.90755868,3.88923883,3.95314622,3.94843602,3.85384679,3.69886541,3.55113888,3.35463285,3.46568108,3.57701063,3.70741892,3.50442195,3.48463106,3.54130602,3.34525847,3.46692538,3.50954652,3.68634653,3.51297402,3.47015405,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,..,..,10.47412777,10.31530952,10.322999,9.96098709,10.01467323,9.6032362,9.48335266,9.01109314,9.2232275,8.96652412,9.99294472,9.3671751,9.26290607,9.03494263,8.41317558,9.08271027,8.56151581,9.47249889,9.69549656,10.06367397,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,..,..,347.67692994,355.91903424,392.49513308,343.91138183,339.67780168,448.03720962,436.8038849,414.97557967,459.04267387,403.70429006,318.75631568,309.48163806,256.05695028,208.4551487,160.25282695,126.10287816,107.75836211,104.67368504,111.01912191,130.12746068,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,16.2800006866455,16.8600006103516,14.6400003433228,14.8199996948242,15.4799995422363,13.6499996185303,8.82999992370605,6.65000009536743,6.88000011444092,7,8.72999954223633,..,10.6899995803833,9.30000019073486,10.5200004577637,11.1999998092651,12.4200000762939,11.7799997329712,13.0699996948242,12.5900001525879,12.8599996566772,..,13.4099998474121,12.5500001907349,11.1400003433228,10.0200004577637,8.97999954223633,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,"Unemployment with basic education, female (% of female labor force with basic education)",SL.UEM.BASC.FE.ZS,22.2600002288818,21.6399993896484,18.1100006103516,17.8299999237061,18.4200000762939,16.4899997711182,10.6599998474121,8.09000015258789,8.72000026702881,8.82999992370605,12.539999961853,..,14.9300003051758,13.1199998855591,14.5699996948242,15.2200002670288,16.7999992370605,16.0400009155273,17.1599998474121,16.6200008392334,17.0200004577637,..,17.8500003814697,17.1399993896484,15.2700004577637,13.5600004196167,11.6599998474121,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,"Unemployment with basic education, male (% of male labor force with basic education)",SL.UEM.BASC.MA.ZS,12.8900003433228,14.25,12.6000003814697,13.0500001907349,13.7399997711182,11.9799995422363,7.69999980926514,5.76000022888184,5.73999977111816,5.8600001335144,6.40000009536743,..,7.84999990463257,6.78999996185303,7.82999992370605,8.48999977111816,9.44999980926514,8.90999984741211,10.3900003433228,9.92000007629395,10.1800003051758,..,10.6599998474121,9.77000045776367,8.67000007629395,7.90999984741211,7.3899998664856,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,Unemployment with intermediate education (% of total labor force with intermediate education),SL.UEM.INTM.ZS,15.039999961853,15.8299999237061,13.539999961853,13.9700002670288,14.3900003433228,13.3000001907349,7.40999984741211,4.03000020980835,4.26999998092651,4.15000009536743,8.64000034332275,..,10.9200000762939,9.68000030517578,10.8900003433228,10.9799995422363,11.8199996948242,11.4499998092651,12.3900003433228,11.9499998092651,11.210000038147,..,11.6999998092651,10.039999961853,8.98999977111816,7.38000011444092,6.73000001907349,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,"Unemployment with intermediate education, female (% of female labor force with intermediate education)",SL.UEM.INTM.FE.ZS,19.1299991607666,19.2999992370605,16.7999992370605,16.8600006103516,17.2299995422363,15.9799995422363,8.68000030517578,4.71999979019165,5.13000011444092,5.01000022888184,11.6400003433228,..,14.289999961853,12.7600002288818,14.4799995422363,14.1000003814697,15.4200000762939,14.5500001907349,15.5100002288818,14.8999996185303,14.1700000762939,..,14.6800003051758,13.1700000762939,11.6099996566772,9.35999965667725,8.35000038146973,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,"Unemployment with intermediate education, male (% of male labor force with intermediate education)",SL.UEM.INTM.MA.ZS,11.7299995422363,13.0699996948242,10.7700004577637,11.5200004577637,11.960000038147,11.0200004577637,6.11999988555908,3.22000002861023,3.26999998092651,3.13000011444092,5.82000017166138,..,7.73999977111816,6.75,7.42000007629395,7.96000003814697,8.31999969482422,8.39999961853027,9.30000019073486,9.02999973297119,8.25,..,8.71000003814697,7.01000022888184,6.44999980926514,5.48000001907349,5.15999984741211,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,13.3400001525879,13.9300003051758,12.0500001907349,12.460000038147,12.9300003051758,11.7399997711182,8.5600004196167,6.76000022888184,7.07000017166138,7.25,7.57999992370605,8.03400039672852,9.42000007629395,8.27000045776367,9.27999973297119,9.6899995803833,10.5500001907349,10.0699996948242,11.1700000762939,10.6400003433228,10.6499996185303,10.5299997329712,11.1300001144409,10.1499996185303,9,8.02999973297119,7.09000015258789,6.46999979019165,6.03000020980835,6.42000007629395,6.36600017547607,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,10.6599998474121,11.7799997329712,10.0500001907349,10.7200002670288,11.1899995803833,10.0600004196167,7.21999979019165,5.59999990463257,5.67000007629395,5.80000019073486,5.44999980926514,..,6.92000007629395,6.01000022888184,6.84000015258789,7.34000015258789,7.94000005722046,7.63000011444092,8.89000034332275,8.42000007629395,8.4399995803833,..,8.76000022888184,7.84999990463257,7.03000020980835,6.34999990463257,5.8600001335144,..,5.15999984741211,5.40999984741211,..,3.82999992370605,3.00999999046326,3.53999996185303,3.33999991416931,2.22000002861023,3.17000007629395,3.90000009536743,4.61999988555908,4.69999980926514,3.90000009536743,..
Brazil,BRA,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,10.8050003051758,11.96399974823,10.1540002822876,10.8339996337891,11.3120002746582,10.201000213623,7.2480001449585,5.61299991607666,5.68100023269653,5.80800008773804,5.49399995803833,5.86299991607666,6.97100019454956,6.05200004577637,6.88100004196167,7.38600015640259,7.99200010299683,7.68200016021729,8.94099998474121,8.4680004119873,8.49600028991699,8.34700012207031,8.81799983978271,7.90700006484985,7.07499980926514,6.39099979400635,5.88700008392334,5.47800016403198,5.22599983215332,5.4980001449585,5.46700000762939,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,16.4099998474121,16.2199993133545,14.3199996948242,14.3900003433228,14.8599996566772,13.5799999237061,10.289999961853,8.3100004196167,8.96000003814697,9.22000026702881,10.3500003814697,..,12.5799999237061,11.1700000762939,12.4099998474121,12.6999998092651,13.8900003433228,13.25,14.1899995803833,13.6099996566772,13.6700000762939,..,14.5799999237061,13.5900001525879,12.0299997329712,10.6400003433228,9.02000045776367,..,7.34000015258789,7.94999980926514,..,3.45000004768372,2.97000002861023,4.25,3.95000004768372,2.71000003814697,3.85999989509583,4.40000009536743,4.63000011444092,5.09000015258789,4.15999984741211,..
Brazil,BRA,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,16.6840000152588,16.5790004730225,14.4899997711182,14.5780000686646,15.0550003051758,13.8050003051758,10.331000328064,8.32999992370605,8.97799968719482,9.23299980163574,10.4329996109009,10.960000038147,12.6730003356934,11.2480001449585,12.4840002059937,12.7790002822876,13.9809999465942,13.3400001525879,14.2720003128052,13.6879997253418,13.7600002288818,13.7770004272461,14.6759996414185,13.6890001296997,12.1059999465942,10.7089996337891,9.0620002746582,8.14900016784668,7.43400001525879,8.07999992370605,8.03800010681152,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),SP.MTR.1519.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18,..,..,..,..,14.7,..,..,..,..,13.3,..,..,..,..,..,..
